Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2023-02-24,182.35,-0.0026,1000,82000,5.484,425.0794,77513.23,17465.8
2023-02-27,178.45,-0.0042,1000,83000,5.6038,430.6832,76855.42,17392.7
2023-02-28,178.87,-0.0051,1000,84000,5.5907,436.2739,78036.3,17303.95
2023-03-01,182.0,0.0085,0,84000,0.0,436.2739,79401.84,17450.9
2023-03-02,183.0,-0.0074,2000,86000,10.929,447.2028,81838.12,17321.9
2023-03-03,185.17,0.0157,0,86000,0.0,447.2028,82808.55,17594.35
2023-03-06,187.86,0.0067,0,86000,0.0,447.2028,84011.52,17711.45
2023-03-08,188.62,0.0024,0,86000,0.0,447.2028,84351.4,17754.4
2023-03-09,187.0,-0.0093,4000,90000,21.3904,468.5932,87626.93,17589.6
2023-03-10,184.7,-0.01,1000,91000,5.4142,474.0074,87549.16,17412.9
2023-03-13,183.75,-0.0149,1000,92000,5.4422,479.4496,88098.86,17154.3
2023-03-14,182.08,-0.0065,1000,93000,5.4921,484.9416,88298.17,17043.3
2023-03-15,178.88,-0.0042,1000,94000,5.5903,490.532,87746.36,16972.15
2023-03-16,182.58,0.0008,0,94000,0.0,490.532,89561.33,16985.6
2023-03-17,183.38,0.0067,0,94000,0.0,490.532,89953.76,17100.05
2023-03-20,180.79,-0.0065,3000,97000,16.5938,507.1258,91683.28,16988.4
2023-03-21,182.25,0.007,0,97000,0.0,507.1258,92423.68,17107.5
2023-03-23,181.36,-0.0018,2000,99000,11.0278,518.1536,93972.34,17076.9
2023-03-24,180.93,-0.0077,1000,100000,5.527,523.6806,94749.53,16945.05
2023-03-27,179.28,0.0024,0,100000,0.0,523.6806,93885.46,16985.7
2023-03-28,177.2,-0.002,2000,102000,11.2867,534.9673,94796.2,16951.7
2023-03-29,180.79,0.0076,0,102000,0.0,534.9673,96716.74,17080.7
2023-03-31,183.4,0.0163,0,102000,0.0,534.9673,98113.0,17359.75
2023-04-03,184.0,0.0022,0,102000,0.0,534.9673,98433.98,17398.05
2023-04-05,183.0,0.0091,0,102000,0.0,534.9673,97899.01,17557.05
2023-04-06,184.6,0.0024,0,102000,0.0,534.9673,98754.96,17599.15
2023-04-10,184.98,0.0014,0,102000,0.0,534.9673,98958.25,17624.05
2023-04-11,184.81,0.0056,0,102000,0.0,534.9673,98867.31,17722.3
2023-04-12,187.0,0.0051,0,102000,0.0,534.9673,100038.88,17812.4
2023-04-13,186.19,0.0009,0,102000,0.0,534.9673,99605.56,17828.0
2023-04-17,186.92,-0.0068,10000,112000,53.4988,588.4661,109996.09,17706.85
2023-04-18,187.7,-0.0026,1000,113000,5.3277,593.7938,111455.09,17660.15
2023-04-19,188.97,-0.0023,1000,114000,5.2918,599.0856,113209.21,17618.75
2023-04-20,188.45,0.0003,0,114000,0.0,599.0856,112897.68,17624.45
2023-04-21,186.33,-0.0,2000,116000,10.7336,609.8193,113627.62,17624.05
2023-04-24,187.64,0.0068,0,116000,0.0,609.8193,114426.49,17743.4
2023-04-25,191.01,0.0015,0,116000,0.0,609.8193,116481.58,17769.25
2023-04-26,193.37,0.0025,0,116000,0.0,609.8193,117920.75,17813.6
