Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2023-11-23,47.02,-0.0005,78.46,19446.81,0.0,16857.41,24.86,300630.9,0.0,1104.0826,51913.97,19802.0,0.00298651123979643
2023-11-24,46.97,-0.0004,73.07,19484.18,0.0,17857.41,18.43,300630.9,0.0,1104.0826,51858.76,19794.7,-0.0010634902320126871
2023-11-28,47.49,0.0048,76.25,19521.62,0.0,18857.41,0.0,300630.9,0.0,1104.0826,52432.88,19889.7,0.011070839333605198
2023-11-29,47.66,0.0104,79.95,19572.47,0.0,19857.41,0.0,300630.9,0.0,1104.0826,52620.58,20096.6,0.003579814803230441
2023-11-30,48.42,0.0018,84.21,19629.67,0.0,20857.41,0.0,300630.9,0.0,1104.0826,53459.68,20133.15,0.015946232443656116
2023-12-01,49.31,0.0067,85.6,19686.4,0.0,21857.41,0.0,300630.9,0.0,1104.0826,54442.31,20267.9,0.018380768459519414
2023-12-04,49.51,0.0207,88.66,19759.21,0.0,22857.41,0.0,300630.9,0.0,1104.0826,54663.13,20686.8,0.0040560365642090535
2023-12-05,50.14,0.0081,94.44,19831.38,0.0,23857.41,0.0,300630.9,0.0,1104.0826,55358.7,20855.1,0.01272466468714839
2023-12-06,50.94,0.004,93.86,19907.93,0.0,24857.41,0.0,300630.9,0.0,1104.0826,56241.97,20937.7,0.01595539635143184
2023-12-07,51.29,-0.0017,90.99,19980.81,0.0,25857.41,87.28,300630.9,0.0,1104.0826,56628.4,20901.15,0.0068708475183212325
2023-12-08,50.88,0.0033,93.56,20059.52,0.0,26857.41,0.0,300630.9,0.0,1104.0826,56175.72,20969.4,-0.007993868800813764
2023-12-11,51.32,0.0013,96.19,20138.1,0.0,27857.41,0.0,300630.9,0.0,1104.0826,56661.52,20997.1,0.008647864237432135
2023-12-12,51.01,-0.0043,89.77,20207.15,0.0,28857.41,215.98,300630.9,0.0,1104.0826,56319.26,20906.4,-0.0060404309662005495
2023-12-13,51.6,0.001,89.71,20281.29,0.0,29857.41,0.0,300630.9,0.0,1104.0826,56970.66,20926.35,0.011566203107072015
2023-12-14,52.22,0.0123,91.84,20356.65,0.0,30857.41,0.0,300630.9,0.0,1104.0826,57655.2,21182.7,0.012015658586366884
2023-12-15,52.49,0.0129,93.36,20441.22,0.0,31857.41,0.0,300630.9,0.0,1104.0826,57953.3,21456.65,0.005170392262970225
2023-12-18,52.03,-0.0018,91.11,20525.56,0.0,32857.41,88.55,300630.9,0.0,1104.0826,57445.42,21418.65,-0.008763607939496154
2023-12-19,52.79,0.0016,90.2,20613.52,0.0,33857.41,0.0,300630.9,0.0,1104.0826,58284.52,21453.1,0.014606908609946512
2023-12-20,51.2,-0.0141,76.03,20681.86,0.0,34857.41,706.08,300630.9,0.0,1104.0826,56529.03,21150.15,-0.030119318131126338
2023-12-21,51.83,0.005,75.66,20754.02,0.0,35857.41,0.0,300630.9,0.0,1104.0826,57224.6,21255.05,0.012304651256177523
2023-12-22,52.16,0.0044,70.72,20831.39,0.0,36857.41,0.0,300630.9,0.0,1104.0826,57588.95,21349.4,0.0063670169822069855
2023-12-26,52.8,0.0043,69.25,20913.72,0.0,37857.41,0.0,300630.9,0.0,1104.0826,58295.56,21441.35,0.012269888581055932
2023-12-27,53.08,0.01,71.68,21001.97,0.0,38857.41,0.0,300630.9,0.0,1104.0826,58604.71,21654.75,0.005303148301517346
2023-12-28,53.94,0.0057,75.2,21086.08,0.0,39857.41,0.0,300630.9,0.0,1104.0826,59554.22,21778.7,0.016201940082972932
2023-12-29,53.64,-0.0022,72.15,21165.99,0.0,40857.41,108.59,300630.9,0.0,1104.0826,59222.99,21731.4,-0.005561822487138657
2024-01-01,53.72,0.0005,71.87,21239.69,0.0,41857.41,0.0,300630.9,0.0,1104.0826,59311.32,21741.9,0.0014914816019928612
2024-01-02,53.52,-0.0035,72.49,21288.64,0.0,42857.41,175.01,300630.9,0.0,1104.0826,59090.5,21665.8,-0.003723066692833621
2024-01-03,54.04,-0.0069,66.27,21321.75,0.0,43857.41,342.59,300630.9,0.0,1104.0826,59664.63,21517.35,0.009716113419246719
2024-01-04,54.67,0.0066,63.98,21357.8,0.0,44857.41,0.0,300630.9,0.0,1104.0826,60360.2,21658.6,0.011657995700300239
