date,nav,invested_today,extra_amount,carry_over,total_invested,total_units,portfolio_value,MA,RSI,daily_ret
2023-10-23,12.56,21977.811242033116,20977.811242033116,20648.915392385505,715489.5295881574,66127.22857601615,830557.9909147628,12.718,43.15789473684216,0.010288970279019427
2023-10-25,12.45,11499.616931861543,10499.616931861543,10324.457696192752,726989.1465200189,67050.89258660744,834783.6127032626,12.713,43.157894736842074,0.0050876902452599015
2023-10-26,12.34,6338.9356754056125,5338.9356754056125,5162.228848096376,733328.0821954246,67564.58267375539,833746.9501941415,12.7015,34.343434343434325,-0.001241833803809489
2023-10-27,12.52,1000.0,0.0,6162.228848096376,734328.0821954246,67644.45487822824,846908.5750754175,12.698,39.81481481481479,0.015786114573746124
2023-10-30,12.57,1000.0,0.0,7162.228848096376,735328.0821954246,67724.0093730572,851290.797819329,12.6945,45.71428571428573,0.005174375219333616
2023-10-31,12.53,4644.758019911356,3644.758019911356,3581.114424048188,739972.840215336,68094.70035629034,853226.595464318,12.688500000000001,36.458333333333385,0.00227395579741696
2023-11-01,12.52,2806.5189039634397,1806.5189039634397,1790.557212024094,742779.3591192993,68318.86320804461,855352.1673647185,12.68,31.868131868131897,0.0024912161806722732
2023-11-02,12.64,1000.0,0.0,2790.557212024094,743779.3591192993,68397.97713209524,864550.4309496839,12.683,39.80582524271852,0.010753773633735753
2023-11-03,12.76,1000.0,0.0,3790.557212024094,744779.3591192993,68476.34703805136,873758.1882055354,12.6885,46.90265486725663,0.010650341410086472
2023-11-06,12.88,1000.0,0.0,4790.557212024094,745779.3591192993,68553.98678960415,882975.3498501015,12.6955,51.219512195121986,0.010548870121029452
2023-11-07,12.94,1000.0,0.0,5790.557212024094,746779.3591192993,68631.26654230895,888088.5890574778,12.7095,51.99999999999995,0.005790919540669348
2023-11-08,13.01,1000.0,0.0,6790.557212024094,747779.3591192993,68708.13049311603,893892.7777154394,12.7205,57.142857142857125,0.006535596481564543
2023-11-09,13.04,1000.0,0.0,7790.557212024094,748779.3591192993,68784.81760968044,896954.0216302328,12.73,58.59374999999994,0.0034246209289408025
2023-11-10,13.06,1000.0,0.0,8790.557212024094,749779.3591192993,68861.38728808779,899329.7179824265,12.7405,61.600000000000016,0.0026486266797443037
2023-11-13,13.14,1000.0,0.0,9790.557212024094,750779.3591192993,68937.49078884882,905838.6289654736,12.756,75.89285714285708,0.007237513509115834
2023-11-15,13.25,1000.0,0.0,10790.557212024094,751779.3591192993,69012.96248696203,914421.7529522469,12.776,85.71428571428571,0.009475334471632957
2023-11-16,13.32,1000.0,0.0,11790.557212024094,752779.3591192993,69088.0375620371,920252.6603263343,12.7975,95.37037037037031,0.006376606150566788
2023-11-17,13.33,1000.0,0.0,12790.557212024094,753779.3591192993,69163.05631672578,921943.5407019546,12.8225,94.50549450549444,0.0018374088427202118
2023-11-20,13.31,1000.0,0.0,13790.557212024094,754779.3591192993,69238.18779681594,921560.2795756202,12.847,92.04545454545452,-0.00041570997508444396
