Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2024-07-30,21749.5,0.0048,59.28,21253.91,0.0,62179.69,0.0,111084.76,0.0,6.2275,135445.33,21749.5,0.004834872748428198
2024-07-31,21860.95,0.0051,63.52,21301.46,0.0,63179.69,0.0,111084.76,0.0,6.2275,136139.38,21860.95,0.005124207678478321
2024-08-01,21706.45,-0.0071,58.55,21333.15,0.0,64179.69,353.37,111084.76,0.0,6.2275,135177.23,21706.45,-0.007067389318211936
2024-08-02,21492.25,-0.0099,53.83,21347.0,0.0,65179.69,493.4,111084.76,0.0,6.2275,133843.3,21492.25,-0.009868008095742287
2024-08-05,20734.85,-0.0352,38.55,21316.11,35351.87,32589.84,1762.03,146436.64,1.7049,7.9325,164478.45,20734.85,0.2288881849147475
2024-08-06,20611.15,-0.006,36.93,21282.2,17593.21,16294.92,298.29,164029.85,0.8536,8.786,181090.42,20611.15,0.10099785108626702
2024-08-07,21063.7,0.022,47.25,21268.01,0.0,17294.92,0.0,164029.85,0.0,8.786,185066.54,21063.7,0.02195654524408308
2024-08-08,20991.0,-0.0035,52.87,21254.23,0.0,18294.92,172.57,164029.85,0.0,8.786,184427.8,20991.0,-0.003451407261410022
2024-08-09,21151.35,0.0076,51.82,21246.19,0.0,19294.92,0.0,164029.85,0.0,8.786,185836.64,21151.35,0.007638978505409844
2024-08-12,21208.7,0.0027,54.33,21241.62,0.0,20294.92,0.0,164029.85,0.0,8.786,186340.52,21208.7,0.002711413637267457
2024-08-13,21044.95,-0.0077,48.52,21221.42,0.0,21294.92,386.04,164029.85,0.0,8.786,184901.8,21044.95,-0.0077209186708291355
2024-08-14,20917.75,-0.006,47.35,21194.48,0.0,22294.92,302.21,164029.85,0.0,8.786,183784.22,20917.75,-0.006044181289744044
2024-08-16,21298.35,0.0182,47.66,21196.62,0.0,23294.92,0.0,164029.85,0.0,8.786,187128.19,21298.35,0.018195087695777046
2024-08-19,21351.4,0.0025,45.0,21223.58,0.0,24294.92,0.0,164029.85,0.0,8.786,187594.29,21351.4,0.0024908059015587014
2024-08-20,21529.05,0.0083,46.33,21248.01,0.0,25294.92,0.0,164029.85,0.0,8.786,189155.13,21529.05,0.008320295889602924
2024-08-21,21617.7,0.0041,45.92,21281.51,0.0,26294.92,0.0,164029.85,0.0,8.786,189934.01,21617.7,0.004117678436741379
2024-08-22,21760.35,0.0066,50.91,21312.86,0.0,27294.92,0.0,164029.85,0.0,8.786,191187.34,21760.35,0.0065987655396733125
2024-08-23,21645.65,-0.0053,52.67,21341.12,0.0,28294.92,263.55,164029.85,0.0,8.786,190179.58,21645.65,-0.00527106031183866
2024-08-26,21758.45,0.0052,72.97,21356.92,0.0,29294.92,0.0,164029.85,0.0,8.786,191170.65,21758.45,0.005211232457238646
2024-08-27,21869.75,0.0051,78.41,21368.16,0.0,30294.92,0.0,164029.85,0.0,8.786,192148.53,21869.75,0.005115220354170447
2024-08-28,21838.7,-0.0014,71.6,21372.62,0.0,31294.92,70.99,164029.85,0.0,8.786,191875.72,21838.7,-0.001419787078256629
2024-08-29,21741.35,-0.0045,70.63,21366.64,0.0,32294.92,222.88,164029.85,0.0,8.786,191020.4,21741.35,-0.0044576770838957724
2024-08-30,21925.45,0.0085,71.01,21377.6,0.0,33294.92,0.0,164029.85,0.0,8.786,192637.91,21925.45,0.00846773433622805
2024-09-02,21862.85,-0.0029,67.7,21396.12,0.0,34294.92,142.76,164029.85,0.0,8.786,192087.91,21862.85,-0.0028550974208555457
2024-09-03,21913.8,0.0023,75.04,21455.07,0.0,35294.92,0.0,164029.85,0.0,8.786,192535.56,21913.8,0.0023304433891753185
2024-09-04,21895.35,-0.0008,80.06,21519.28,0.0,36294.92,42.1,164029.85,0.0,8.786,192373.45,21895.35,-0.0008419743345072783
2024-09-05,21976.9,0.0037,75.57,21564.94,0.0,37294.92,0.0,164029.85,0.0,8.786,193089.96,21976.9,0.0037245784176558328
2024-09-06,21675.8,-0.0137,60.3,21599.18,0.0,38294.92,685.04,164029.85,0.0,8.786,190444.48,21675.8,-0.013700764141232336
2024-09-09,21621.4,-0.0025,53.18,21622.68,0.0,39294.92,125.49,164029.85,0.0,8.786,189966.52,21621.4,-0.002509707816157336
2024-09-10,21853.55,0.0107,57.39,21654.93,0.0,40294.92,0.0,164029.85,0.0,8.786,192006.2,21853.55,0.010737049875946703
2024-09-11,21798.95,-0.0025,51.28,21692.63,0.0,41294.92,124.92,164029.85,0.0,8.786,191526.48,21798.95,-0.002498460987197304
2024-09-12,22047.7,0.0114,62.25,21749.12,0.0,42294.92,0.0,164029.85,0.0,8.786,193712.01,22047.7,0.01141111140349893
2024-09-13,22190.35,0.0065,62.92,21793.72,0.0,43294.92,0.0,164029.85,0.0,8.786,194965.34,22190.35,0.006470068634360837
2024-09-16,22264.7,0.0034,62.09,21839.39,0.0,44294.92,0.0,164029.85,0.0,8.786,195618.58,22264.7,0.00335054425571224
2024-09-17,22235.35,-0.0013,62.15,21874.7,0.0,45294.92,65.91,164029.85,0.0,8.786,195360.71,22235.35,-0.0013182285649961933
2024-09-18,22079.9,-0.007,60.01,21897.82,0.0,46294.92,349.56,164029.85,0.0,8.786,193994.92,22079.9,-0.006991119145707381
2024-09-19,21965.15,-0.0052,51.22,21908.06,0.0,47294.92,259.85,164029.85,0.0,8.786,192986.72,21965.15,-0.005197043304020599
2024-09-20,22256.1,0.0132,60.63,21938.58,0.0,48294.92,0.0,164029.85,0.0,8.786,195543.02,22256.1,0.01324598915407238
2024-09-23,22423.7,0.0075,62.97,21971.84,0.0,49294.92,0.0,164029.85,0.0,8.786,197015.56,22423.7,0.007530516814151733
2024-09-24,22493.5,0.0031,64.82,22003.03,0.0,50294.92,0.0,164029.85,0.0,8.786,197628.82,22493.5,0.003112749064084097
2024-09-25,22357.4,-0.0061,59.18,22028.96,0.0,51294.92,302.53,164029.85,0.0,8.786,196433.04,22357.4,-0.006050635732177123
2024-09-26,22367.85,0.0005,69.42,22060.29,0.0,52294.92,0.0,164029.85,0.0,8.786,196524.86,22367.85,0.0004674366389685325
2024-09-27,22360.85,-0.0003,71.32,22082.06,0.0,53294.92,15.65,164029.85,0.0,8.786,196463.36,22360.85,-0.00031293750826233424
2024-09-30,22311.95,-0.0022,64.78,22104.51,0.0,54294.92,109.34,164029.85,0.0,8.786,196033.72,22311.95,-0.002186870875057756
2024-10-01,22379.75,0.003,68.57,22127.81,0.0,55294.92,0.0,164029.85,0.0,8.786,196629.41,22379.75,0.003038711911399705
2024-10-03,21904.7,-0.0212,46.01,22128.28,0.0,56294.92,1061.34,164029.85,0.0,8.786,192455.6,21904.7,-0.021226783928202764
2024-10-04,21710.6,-0.0089,36.97,22114.96,29590.52,28147.46,443.06,193620.37,1.363,10.149,220340.75,21710.6,0.1448913411716779
2024-10-07,21264.5,-0.0205,27.41,22094.4,16101.11,14073.73,1027.38,209721.48,0.7572,10.9062,231914.39,21264.5,0.05252609878109249
2024-10-08,21685.65,0.0198,39.45,22097.61,0.0,15073.73,0.0,209721.48,0.0,10.9062,236507.53,21685.65,0.019805325577252786
2024-10-09,21918.3,0.0107,46.99,22100.85,0.0,16073.73,0.0,209721.48,0.0,10.9062,239044.85,21918.3,0.010728284211500627
2024-10-10,21885.65,-0.0015,48.47,22105.18,0.0,17073.73,74.48,209721.48,0.0,10.9062,238688.76,21885.65,-0.0014896367773662433
2024-10-11,21979.15,0.0043,44.24,22101.75,0.0,18073.73,0.0,209721.48,0.0,10.9062,239708.49,21979.15,0.004272216253500938
2024-10-14,22058.8,0.0036,42.12,22095.18,0.0,19073.73,0.0,209721.48,0.0,10.9062,240577.17,22058.8,0.0036239016815799996
2024-10-15,22128.65,0.0032,42.12,22088.38,0.0,20073.73,0.0,209721.48,0.0,10.9062,241338.96,22128.65,0.0031665099394093676
2024-10-16,22085.1,-0.002,43.87,22080.86,0.0,21073.73,98.4,209721.48,0.0,10.9062,240864.0,22085.1,-0.0019680204141095947
2024-10-17,21718.5,-0.0166,37.41,22062.79,12366.84,10536.87,829.97,222088.31,0.5694,11.4756,249232.63,21718.5,0.0347442125016606
