INDEX,CURRENT,PCNT_CHNG,OPEN,HIGH,LOW,INDICATIVE_CLOSE,PREV_CLOSE,PREV_DAY27_Feb_2026,1W_AGO_20-Feb-2026,1M_AGO27-Jan-2026,1Y_AGO_25-Feb-2025,52W_H,52W_L,30_D_PCNT_CHNG,365_D_PCNT_CHNG
"NIFTY500 QUALITY 50","18,001.90","-1.29","17,609.20","18,187.25","17,602.65","-","18,236.60","18,236.60","18,436.10","18,102.80","-","-","-",-2.16,0
"NIFTY500 LOW VOLATILITY 50","22,533.35","-1.44","22,295.35","22,692.00","22,283.95","-","22,861.45","22,861.45","22,947.30","22,362.00","-","-","-",1.23,0
"NIFTY500 MULTIFACTOR MQVLV 50","31,831.10","-1.49","31,384.50","32,051.25","31,369.55","-","32,313.20","32,313.20","32,029.30","30,818.10","-","-","-",3.83,0
"NIFTY50 USD","9,398.35","-1.99","9,589.75","9,589.75","9,160.70","-","9,589.76","9,589.76","9,737.82","9,510.30","8,959.04","-","-",-1.06,7.27
"NIFTY500 FLEXICAP QUALITY 30","9,682.45","-1.27","9,561.05","9,768.60","9,560.50","-","9,807.40","9,807.40","9,977.00","10,425.85","-","-","-",-6.13,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","41,815.95","-0.77","40,938.75","42,171.30","40,933.65","-","42,139.10","42,139.10","42,011.90","40,357.55","-","-","-",3.37,0
"NIFTY COMMODITIES","9,810.85","-1.46","9,684.60","9,892.25","9,673.80","-","9,955.95","9,955.95","9,888.45","9,492.60","7,758.20","10,078.60","7,601.40",3.21,29.16
"NIFTY INDIA CONSUMPTION","11,337.25","-1.73","11,218.60","11,444.40","11,213.95","-","11,537.10","11,537.10","11,710.70","11,444.80","10,562.25","12,716.20","10,159.85",-0.53,11.58
"NIFTY CPSE","7,060.30","-0.37","6,961.25","7,114.00","6,953.20","-","7,086.60","7,086.60","7,022.35","6,474.50","5,520.70","7,147.25","5,521.95",5.5,31.05
"NIFTY ENERGY","36,469.20","-1.55","36,014.35","36,756.75","35,972.70","-","37,045.20","37,045.20","36,581.15","33,293.10","31,018.30","37,306.50","29,802.20",5.36,21.49
"NIFTY INFRASTRUCTURE","9,319.80","-2.23","9,242.10","9,403.00","9,239.80","-","9,532.65","9,532.65","9,632.25","8,983.80","7,867.85","9,792.60","7,775.80",2.13,21.58
"NIFTY100 LIQUID 15","7,411.55","-1.32","7,337.60","7,460.85","7,328.00","-","7,510.40","7,510.40","7,660.40","7,199.25","6,180.50","7,774.60","6,045.55",2.98,22.41
"NIFTY MIDCAP LIQUID 15","14,807.00","-1.67","14,531.90","14,981.55","14,526.30","-","15,058.75","15,058.75","15,384.15","15,259.95","12,562.80","16,755.80","11,541.70",-3.57,21.44
"NIFTY MNC","31,319.40","-1.21","30,826.40","31,548.55","30,823.80","-","31,703.10","31,703.10","31,211.50","30,061.60","25,816.95","32,131.15","23,981.05",3.78,25.61
"NIFTY PSE","10,350.40","-1.01","10,205.20","10,406.25","10,191.40","-","10,456.10","10,456.10","10,366.90","9,730.85","8,362.35","10,544.05","8,415.00",3,28.35
"NIFTY SERVICES SECTOR","31,927.55","-1.23","31,689.35","32,119.50","31,673.10","-","32,325.60","32,325.60","32,981.05","32,957.80","29,892.35","34,549.75","29,070.85",-2.74,8.57
"NIFTY100 ESG SECTOR LEADERS","4,091.25","-1.51","4,063.35","4,123.40","4,061.45","-","4,154.05","4,154.05","4,211.70","4,202.20","3,727.55","-","-",-2.39,11.93
"NIFTY INDIA DIGITAL","7,738.40","-1.53","7,651.80","7,834.05","7,650.30","-","7,858.65","7,858.65","8,270.80","8,994.20","8,431.30","10,152.15","4,755.25",-13.81,-4.19
"NIFTY100 ESG","4,954.65","-1.57","4,914.35","4,995.85","4,912.25","-","5,033.70","5,033.70","5,095.25","5,036.20","4,425.10","-","-",-1.39,14.9
"NIFTY INDIA MANUFACTURING","15,563.15","-1.32","15,309.20","15,706.35","15,305.30","-","15,771.55","15,771.55","15,631.25","14,851.50","12,561.05","-","-",4.29,28.44
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,771.65","-1.68","14,579.65","14,952.60","14,568.45","-","15,023.30","15,023.30","15,061.90","14,894.90","14,487.50","18,764.95","9,887.45",-0.61,5.33
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","15,661.25","-1.45","15,420.70","15,809.15","15,417.05","-","15,892.30","15,892.30","15,792.60","15,056.20","13,273.30","16,323.15","8,394.35",3.34,21.73
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","13,877.50","-2.12","13,698.75","14,011.60","13,697.05","-","14,178.50","14,178.50","14,275.70","13,363.65","12,117.05","15,154.10","8,010.10",1.86,18.5
"NIFTY INDIA DEFENCE","8,177.90","0.63","7,936.05","8,288.30","7,933.70","-","8,126.80","8,126.80","8,099.45","7,637.25","5,333.85","9,195.15","3,374.95",4.15,59.36
"NIFTY INDIA TOURISM","7,569.65","-2.89","7,459.80","7,660.70","7,456.80","-","7,795.00","7,795.00","7,965.30","7,620.55","8,095.95","9,497.20","6,058.05",-1.87,-3.93
"NIFTY CAPITAL MARKETS","4,542.90","-1.31","4,450.00","4,599.75","4,448.10","-","4,603.35","4,603.35","4,671.60","4,547.20","3,344.50","4,964.25","2,009.60",0.79,46.97
"NIFTY EV & NEW AGE AUTOMOTIVE","3,013.85","-2.36","2,968.05","3,060.30","2,967.65","-","3,086.80","3,086.80","3,060.30","2,918.70","2,677.85","-","-",2.01,18.11
"NIFTY INDIA NEW AGE CONSUMPTION","10,895.15","-2.14","10,768.05","11,024.95","10,766.10","-","11,133.75","11,133.75","11,366.20","10,846.40","10,320.95","-","-",-0.46,9.69
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","36,308.65","-2.11","36,071.45","36,773.80","36,033.65","-","37,089.85","37,089.85","37,523.65","37,120.55","32,281.10","-","-",-2.26,16.53
"NIFTY MOBILITY","22,265.60","-2.65","22,046.10","22,602.10","22,040.40","-","22,872.30","22,872.30","22,896.45","21,594.25","18,091.40","-","-",1.67,27.87
"NIFTY100 ENHANCED ESG","4,989.95","-1.58","4,950.05","5,031.45","4,947.90","-","5,070.10","5,070.10","5,134.10","5,076.10","4,459.95","-","-",-1.48,14.82
